Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop
Philippines,Asia,109463670,18997,0,966,0,4063,0,13968,78,174,9,366269,3346
Argentina,South America,45163302,18319,0,569,0,5709,0,12041,274,406,13,167799,3715
Dominican Republic,North America,10839344,17752,0,515,0,11075,0,6162,110,1638,48,84638,7808
Israel,Asia,9197590,17342,57,290,0,14955,15,2097,28,1885,32,593499,64528
Japan,Asia,126504317,16930,0,894,0,14650,0,1386,113,134,7,296383,2343
Austria,Europe,9002468,16759,0,669,0,15629,0,461,26,1862,74,456378,50695
Afghanistan,Asia,38853367,16509,0,270,0,1450,0,14789,19,425,7,40950,1054
Panama,North America,4309210,14095,0,352,0,9514,0,4229,78,3271,82,69483,16124
Oman,Asia,5095308,12799,0,59,0,2812,0,9928,31,2512,12,100181,19661
Bahrain,Asia,1696105,12311,0,19,0,7407,0,4885,10,7258,11,330733,194996
Kazakhstan,Asia,18758789,11796,225,44,0,5941,0,5811,62,629,2,867286,46234
Denmark,Europe,5790665,11734,0,580,0,10489,0,665,21,2026,100,646086,111574
S. Korea,Asia,51265922,11590,49,273,1,10467,21,850,15,226,5,956852,18664
Serbia,Europe,8739886,11454,0,245,0,6766,0,4443,10,1311,28,252132,28848
Bolivia,South America,11660175,10991,460,376,33,1298,161,9317,3,943,32,28239,2422
Nigeria,Africa,205696187,10819,0,314,0,3240,0,7265,7,53,2,65885,320
Armenia,Asia,2962831,10009,0,158,0,3427,0,6424,10,3378,53,59917,20223
Algeria,Africa,43785268,9626,0,667,0,6067,0,2892,25,220,15,0,0
Czechia,Europe,10707502,9364,0,323,0,6686,0,2355,17,875,30,447957,41836
Moldova,Europe,4034641,8548,0,307,0,4738,0,3503,255,2119,76,57003,14128
Norway,Europe,5417952,8455,0,237,0,7727,0,491,9,1561,44,250968,46322
Ghana,Africa,31018059,8297,0,38,0,2986,0,5273,3,267,1,218425,7042
Malaysia,Asia,32332728,7877,0,115,0,6470,0,1292,6,244,4,560738,17343
Morocco,Africa,36875683,7866,0,206,0,6410,0,1250,13,213,6,234651,6363
